"","pilot_area","s_b","day_type","from","occupancy","rate","new_rate","03RD ST 400","03RD ST 300","02ND ST 500","03RD ST 500","BERRY ST 400","KING ST 100","BRYANT ST 500","HAWTHORNE ST 100","SOUTH PARK 100","TOWNSEND ST 0","BERRY ST 300","02ND ST 400","BRYANT ST 300","BRYANT ST 400","RITCH ST 300","SOUTH PARK 0","02ND ST 700","BRANNAN ST 200","TOWNSEND ST 200","BRANNAN ST 500","05TH ST 600","BRANNAN ST 300","BRANNAN ST 400","FOLSOM ST 600","03RD ST 700","MAIN ST 300","01ST ST 300","HARRISON ST 100","03RD ST 600","TOWNSEND ST 100","02ND ST 300","02ND ST 600","BERRY ST 200","HARRISON ST 500","SPEAR ST 300","BERRY ST 100","HARRISON ST 0","FOLSOM ST 500","FOLSOM ST 0","KING ST 200","TOWNSEND ST 300","04TH ST 500","04TH ST 600","SPEAR ST 400"
"1","South Embarcadero","03RD ST 400","Weekday","12:00 PM",94,"1","1.25","1","2","4","2.75","1","4.5","3","3","4.25","3.75","2","3.75","3","2.75","2.5","5.25","3.75","2.75","3.5","2.75","2","4.5","4.25","4.25","4.75","2","3.25","3.75","3.25","3.5","5.25","4.25","4","1.5","5.25","3.5","3","2.75","5.25","2.5","3","1.25","1.25","3.5"
"2","South Embarcadero","03RD ST 400","Weekday","Open",87,"0.75","1","0.75","0.5","1","1","0.5","1.75","1.5","3.5","1","1.25","0.75","0.75","1.5","1.5","1.25","3.5","1.75","2","1.75","0.75","1.25","1.5","1.25","3.25","2.5","1.5","3.5","2.25","1.25","2.25","3.5","2","3.75","1.25","4.25","3.5","1.5","3.5","4","2.5","2.25","1.25","0.25","2.5"
"3","South Embarcadero","03RD ST 300","Weekday","12:00 PM",86,"2","2.25","1","2","4","2.75","1","4.5","3","3","4.25","3.75","2","3.75","3","2.75","2.5","5.25","3.75","2.75","3.5","2.75","2","4.5","4.25","4.25","4.75","2","3.25","3.75","3.25","3.5","5.25","4.25","4","1.5","5.25","3.5","3","2.75","5.25","2.5","3","1.25","1.25","3.5"
"4","South Embarcadero","03RD ST 400","Weekday","3:00 PM",85,"1","1.25","1","2.75","3","1.75","1","3.75","1.25","2.25","2.25","2.75","0.5","3","1.25","1","2","4.25","1.25","1.5","3.25","1.25","0.5","2.5","3.5","3.5","2.75","4.25","1.5","3","2.5","2.75","4.5","2.5","4.25","0.25","5.25","3.5","3.75","2.75","4.25","2.5","2.5","1.25","0.75","3.5"
"5","South Embarcadero","02ND ST 500","Weekday","Open",83,"1","1.25","0.75","0.5","1","1","0.5","1.75","1.5","3.5","1","1.25","0.75","0.75","1.5","1.5","1.25","3.5","1.75","2","1.75","0.75","1.25","1.5","1.25","3.25","2.5","1.5","3.5","2.25","1.25","2.25","3.5","2","3.75","1.25","4.25","3.5","1.5","3.5","4","2.5","2.25","1.25","0.25","2.5"
"6","South Embarcadero","03RD ST 300","Weekend","12:00 PM",83,"0.75","1","0.25","0.75","3","0.25","1.25","3","0.25","0.5","1.25","3","2.25","0.25","0.25","0.25","1.25","3.5","3.5","0.25","3.5","0.25","0.25","0.25","0.5","1.25","3.75","0.75","1.5","0.25","0.25","3.5","0.75","1.25","4.25","0.25","2.5","3","2.75","1","2","2.75","2.25","1.25","0.25","2.75"
"7","South Embarcadero","03RD ST 300","Weekend","3:00 PM",83,"1.25","1.5","0.25","1.25","2.25","0.25","1.75","2.5","0.25","0.5","0.25","2.5","3.5","0.25","0.25","0.25","1","2.75","3","0.25","4.5","0.25","0.25","0.25","0.5","1.5","4.25","1.25","3","0.5","0.25","3.25","0.5","0.5","4.25","0.25","2.25","3","1.5","1","1.25","2.75","2.25","1.25","0.75","2.5"
"8","South Embarcadero","03RD ST 500","Weekday","12:00 PM",83,"2.75","3","1","2","4","2.75","1","4.5","3","3","4.25","3.75","2","3.75","3","2.75","2.5","5.25","3.75","2.75","3.5","2.75","2","4.5","4.25","4.25","4.75","2","3.25","3.75","3.25","3.5","5.25","4.25","4","1.5","5.25","3.5","3","2.75","5.25","2.5","3","1.25","1.25","3.5"
"9","South Embarcadero","BERRY ST 400","Weekday","12:00 PM",83,"1","1.25","1","2","4","2.75","1","4.5","3","3","4.25","3.75","2","3.75","3","2.75","2.5","5.25","3.75","2.75","3.5","2.75","2","4.5","4.25","4.25","4.75","2","3.25","3.75","3.25","3.5","5.25","4.25","4","1.5","5.25","3.5","3","2.75","5.25","2.5","3","1.25","1.25","3.5"
"10","South Embarcadero","KING ST 100","Weekend","6:00 PM",83,"0.25","0.5","0","0","0.25","0.25","0.25","0.25","0.25","0","0.25","0.25","0.75","0","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.5","0","0.75","0","0","0.25","0.25","0.25","0","0.25","0.75","0","0","0.25","0.25","0","0","0.25","0.25","0.25","0.25","0.25"
